Season;Episode;Title;Release_date;Rating;Votes;Duration;Director
1;1;Winter Is Coming;2011-04-17;9.1;38639;62;Timothy Van Patten
1;2;The Kingsroad;2011-04-24;8.8;29285;56;Timothy Van Patten
1;3;Lord Snow;2011-03-01;8.7;27694;58;Brian Kirk
1;4;Cripples, Bastards, and Broken Things;2011-03-08;8.8;26284;56;Brian Kirk
1;5;The Wolf and the Lion;2011-03-15;9.1;27349;55;Brian Kirk
1;6;A Golden Crown;2011-03-22;9.2;27079;53;Daniel Minahan
1;7;You Win or You Die;2011-03-29;9.2;27556;58;Daniel Minahan
1;8;The Pointy End;2011-06-05;9;25645;59;Daniel Minahan
1;9;Baelor;2011-06-12;9.6;36217;57;Alan Taylor
1;10;Fire and Blood;2011-06-19;9.5;31789;53;Alan Taylor
2;1;The North Remembers;2012-04-01;8.8;24837;53;Alan Taylor
2;2;The Night Lands;2012-04-08;8.5;23458;54;Alan Taylor
2;3;What Is Dead May Never Die;2012-04-15;8.8;23178;53;Alik Sakharov
2;4;Garden of Bones;2012-04-22;8.8;22415;51;David Petrarca
2;5;The Ghost of Harrenhal;2012-04-29;8.8;22603;55;David Petrarca
2;6;The Old Gods and the New;2012-03-06;9.1;23612;54;David Nutter
2;7;A Man Without Honor;2012-03-13;8.9;23003;56;David Nutter
2;8;The Prince of Winterfell;2012-03-20;8.8;22729;54;Alan Taylor
2;9;Blackwater;2012-03-27;9.7;39643;55;Neil Marshall
2;10;Valar Morghulis;2012-06-03;9.4;28089;64;Alan Taylor
3;1;Valar Dohaeris;2013-03-31;8.8;24808;55;Daniel Minahan
3;2;Dark Wings, Dark Words;2013-04-07;8.6;22468;56;Daniel Minahan
3;3;Walk of Punishment;2013-04-14;8.9;22678;56;David Benioff
3;4;And Now His Watch Is Ended;2013-04-21;9.6;30931;53;Alex Graves
3;5;Kissed by Fire;2013-04-28;9;23110;57;Alex Graves
3;6;The Climb;2013-03-05;8.8;22978;53;Alik Sakharov
3;7;The Bear and the Maiden Fair;2013-03-12;8.7;22223;58;Michelle MacLaren
3;8;Second Sons;2013-03-19;9;22800;56;Michelle MacLaren
3;9;The Rains of Castamere;2013-06-02;9.9;86759;51;David Nutter
3;10;Mhysa;2013-06-09;9.2;25807;63;David Nutter
4;1;Two Swords;2014-04-06;9.1;29302;58;D.B. Weiss
4;2;The Lion and the Rose;2014-04-13;9.7;45860;52;Alex Graves
4;3;Breaker of Chains;2014-04-20;8.9;24709;57;Alex Graves
4;4;Oathkeeper;2014-04-27;8.8;23734;55;Michelle MacLaren
4;5;First of His Name;2014-03-04;8.7;22964;53;Michelle MacLaren
4;6;The Laws of Gods and Men;2014-03-11;9.7;42269;51;Alik Sakharov
4;7;Mockingbird;2014-03-18;9.1;25582;51;Alik Sakharov
4;8;The Mountain and the Viper;2014-06-01;9.7;45935;52;Alex Graves
4;9;The Watchers on the Wall;2014-06-08;9.6;38665;51;Neil Marshall
4;10;The Children;2014-06-15;9.7;37976;65;Alex Graves
5;1;The Wars to Come;2015-04-12;8.5;26063;53;Michael Slovis
5;2;The House of Black and White;2015-04-19;8.5;22996;56;Michael Slovis
5;3;High Sparrow;2015-04-26;8.5;22275;60;Mark Mylod
5;4;Sons of the Harpy;2015-03-03;8.7;22877;51;Mark Mylod
5;5;Kill the Boy;2015-03-10;8.6;23165;57;Jeremy Podeswa
5;6;Unbowed, Unbent, Unbroken;2015-03-17;8;26236;54;Jeremy Podeswa
5;7;The Gift;2015-03-24;9;25303;59;Miguel Sapochnik
5;8;Hardhome;2015-03-31;9.9;87059;61;Miguel Sapochnik
5;9;The Dance of Dragons;2015-06-07;9.5;38099;52;David Nutter
5;10;Mother's Mercy;2015-06-14;9.1;36939;60;David Nutter
6;1;The Red Woman;2016-04-24;8.5;35873;50;Jeremy Podeswa
6;2;Home;2016-03-01;9.4;42207;54;Jeremy Podeswa
6;3;Oathbreaker;2016-03-08;8.7;30065;52;Daniel Sackheim
6;4;Book of the Stranger;2016-03-15;9.1;32360;59;Daniel Sackheim
6;5;The Door;2016-03-22;9.7;63527;57;Jack Bender
6;6;Blood of My Blood;2016-03-29;8.4;29884;52;Jack Bender
6;7;The Broken Man;2016-06-05;8.6;29021;51;Mark Mylod
6;8;No One;2016-06-12;8.4;33040;59;Mark Mylod
6;9;Battle of the Bastards;2016-06-19;9.9;185033;60;Miguel Sapochnik
6;10;The Winds of Winter;2016-06-26;9.9;128642;68;Miguel Sapochnik
7;1;Dragonstone;2017-07-16;8.6;46297;59;Jeremy Podeswa
7;2;Stormborn;2017-07-23;8.9;39903;59;Mark Mylod
7;3;The Queen's Justice;2017-07-30;9.2;41611;63;Mark Mylod
7;4;The Spoils of War;2017-08-06;9.8;78989;50;Matt Shakman
7;5;Eastwatch;2017-08-13;8.8;39682;59;Matt Shakman
7;6;Beyond the Wall;2017-08-20;9;57960;70;Alan Taylor
7;7;The Dragon and the Wolf;2017-08-27;9.4;57484;80;Jeremy Podeswa
8;1;Winterfell;2019-04-14;7.6;121831;54;David Nutter
8;2;A Knight of the Seven Kingdoms;2019-04-21;7.9;119961;58;David Nutter
8;3;The Long Night;2019-04-28;7.5;200283;82;Miguel Sapochnik
8;4;The Last of the Starks;2019-03-05;5.5;152769;78;David Nutter
8;5;The Bells;2019-03-12;6;177957;78;Miguel Sapochnik
8;6;The Iron Throne;2019-03-19;4.1;220581;80;David Benioff
